

							TABLEAU DE BORD CARREFOUR:



V:Vehicule
DA: Date d'arrivée
DFP:Date de fin de passage
TS:Temps de service
LF:Longueur file


 V           DA            DFP             TS		  V           DA           DFP           TS		 LF1     LF2



 Route1	 		                               Route2	 

 80(V) 	 8h 13m 13s 	  8h 13m 31s  	 0h 0m 18s  	 80(R) 	 8h 13m 50s	  8h 14m 11s  	 0h 0m 20s  	 5 	 7 
 81(V) 	 8h 13m 20s 	  8h 13m 42s  	 0h 0m 22s  	 81(R) 	 8h 13m 52s	  8h 14m 15s  	 0h 0m 22s  	 3 	 8 
 82(V) 	 8h 13m 37s 	  8h 13m 51s  	 0h 0m 13s  	 82(R) 	 8h 13m 53s	  8h 14m 19s  	 0h 0m 25s  	 1 	 9 
 83(O) 	 8h 13m 51s 	  8h 14m 44s  	 0h 0m 52s  	 83(R) 	 8h 13m 54s	  8h 14m 24s  	 0h 0m 29s  	 0 	 10 
 84(R) 	 8h 13m 58s 	  8h 14m 44s  	 0h 0m 46s  	 84(V) 	 8h 13m 58s	  8h 14m 31s  	 0h 0m 33s  	 1 	 8 
 85(R) 	 8h 14m 0s 	  8h 14m 45s  	 0h 0m 45s  	 85(V) 	 8h 14m 13s	  8h 14m 37s  	 0h 0m 23s  	 2 	 4 
 86(R) 	 8h 14m 6s 	  8h 14m 47s  	 0h 0m 40s  	 86(V) 	 8h 14m 35s	  8h 15m 30s  	 0h 0m 54s  	 3 	 1 
 87(R) 	 8h 14m 22s 	  8h 14m 49s  	 0h 0m 26s  	 87(O) 	 8h 14m 38s	  8h 15m 30s  	 0h 0m 52s  	 4 	 1 
 88(R) 	 8h 14m 23s 	  8h 14m 51s  	 0h 0m 27s  	 88(R) 	 8h 14m 44s	  8h 15m 31s  	 0h 0m 46s  	 5 	 2 
 89(R) 	 8h 14m 26s 	  8h 14m 54s  	 0h 0m 27s  	 89(R) 	 8h 14m 46s	  8h 15m 33s  	 0h 0m 46s  	 6 	 3 
 90(R) 	 8h 14m 36s 	  8h 14m 58s  	 0h 0m 21s  	 90(R) 	 8h 14m 55s	  8h 15m 35s  	 0h 0m 39s  	 7 	 4 
 91(V) 	 8h 14m 45s 	  8h 15m 3s  	 0h 0m 18s  	 91(R) 	 8h 14m 58s	  8h 15m 37s  	 0h 0m 39s  	 6 	 5 
 92(V) 	 8h 15m 15s 	  8h 15m 24s  	 0h 0m 8s  	 92(R) 	 8h 15m 13s	  8h 15m 40s  	 0h 0m 26s  	 0 	 6 
 93(V) 	 8h 15m 22s 	  8h 16m 17s  	 0h 0m 54s  	 93(V) 	 8h 15m 31s	  8h 15m 45s  	 0h 0m 14s  	 1 	 4 
 94(R) 	 8h 15m 35s 	  8h 16m 17s  	 0h 0m 42s  	 94(V) 	 8h 15m 33s	  8h 15m 51s  	 0h 0m 18s  	 1 	 4 
 95(R) 	 8h 15m 35s 	  8h 16m 18s  	 0h 0m 42s  	 95(V) 	 8h 16m 1s	  8h 16m 10s  	 0h 0m 8s  	 2 	 0 
 96(R) 	 8h 15m 52s 	  8h 16m 20s  	 0h 0m 27s  	 96(R) 	 8h 16m 27s	  8h 17m 3s  	 0h 0m 35s  	 3 	 0 
 97(R) 	 8h 15m 56s 	  8h 16m 22s  	 0h 0m 25s  	 97(R) 	 8h 16m 41s	  8h 17m 3s  	 0h 0m 21s  	 4 	 1 
 98(R) 	 8h 15m 56s 	  8h 16m 24s  	 0h 0m 28s  	 98(R) 	 8h 16m 42s	  8h 17m 4s  	 0h 0m 22s  	 5 	 2 
 99(R) 	 8h 15m 57s 	  8h 16m 27s  	 0h 0m 30s  	 99(V) 	 8h 17m 3s	  8h 17m 6s  	 0h 0m 3s  	 6 	 1 
 100(V) 	 8h 16m 27s 	  8h 16m 41s  	 0h 0m 14s  	 100(V) 	 8h 17m 10s	  8h 17m 15s  	 0h 0m 5s  	 0 	 0 
 101(V) 	 8h 16m 29s 	  8h 16m 47s  	 0h 0m 18s  	 101(V) 	 8h 17m 10s	  8h 17m 17s  	 0h 0m 7s  	 1 	 1 
 102(V) 	 8h 16m 30s 	  8h 16m 53s  	 0h 0m 22s  	 102(V) 	 8h 17m 11s	  8h 17m 21s  	 0h 0m 10s  	 2 	 2 
 103(V) 	 8h 16m 50s 	  8h 16m 57s  	 0h 0m 6s  	 103(V) 	 8h 17m 20s	  8h 17m 34s  	 0h 0m 14s  	 1 	 1 
 104(R) 	 8h 17m 12s 	  8h 17m 50s  	 0h 0m 37s  	 104(V) 	 8h 17m 34s	  8h 17m 43s  	 0h 0m 8s  	 0 	 1 
 105(R) 	 8h 17m 17s 	  8h 17m 50s  	 0h 0m 32s  	 105(V) 	 8h 17m 42s	  8h 18m 36s  	 0h 0m 53s  	 1 	 1 
 106(R) 	 8h 17m 39s 	  8h 17m 51s  	 0h 0m 11s  	 106(R) 	 8h 17m 49s	  8h 18m 36s  	 0h 0m 47s  	 2 	 1 
 107(R) 	 8h 17m 49s 	  8h 17m 53s  	 0h 0m 3s  	 107(V) 	 8h 18m 42s	  8h 18m 44s  	 0h 0m 1s  	 3 	 0 
 108(V) 	 8h 17m 56s 	  8h 18m 1s  	 0h 0m 5s  	 108(V) 	 8h 18m 46s	  8h 18m 49s  	 0h 0m 3s  	 0 	 0 
 109(V) 	 8h 18m 10s 	  8h 18m 18s  	 0h 0m 7s  	 109(V) 	 8h 18m 50s	  8h 18m 55s  	 0h 0m 5s  	 0 	 0 
 110(V) 	 8h 18m 13s 	  8h 18m 23s  	 0h 0m 10s  	 110(V) 	 8h 19m 12s	  8h 19m 16s  	 0h 0m 3s  	 1 	 0 
 111(V) 	 8h 18m 14s 	  8h 18m 28s  	 0h 0m 14s  	 111(V) 	 8h 19m 14s	  8h 20m 9s  	 0h 0m 54s  	 2 	 1 
 112(V) 	 8h 18m 17s 	  8h 18m 30s  	 0h 0m 12s  	 112(R) 	 8h 19m 45s	  8h 20m 9s  	 0h 0m 24s  	 3 	 1 
 113(V) 	 8h 18m 24s 	  8h 19m 23s  	 0h 0m 58s  	 113(V) 	 8h 20m 28s	  8h 20m 30s  	 0h 0m 1s  	 2 	 0 
 114(V) 	 8h 18m 29s 	  8h 19m 23s  	 0h 0m 54s  	 114(V) 	 8h 20m 34s	  8h 20m 37s  	 0h 0m 3s  	 2 	 0 
 115(V) 	 8h 18m 29s 	  8h 19m 24s  	 0h 0m 55s  	 115(V) 	 8h 20m 41s	  8h 20m 46s  	 0h 0m 5s  	 3 	 0 
 116(R) 	 8h 19m 13s 	  8h 19m 26s  	 0h 0m 12s  	 116(V) 	 8h 20m 47s	  8h 20m 49s  	 0h 0m 1s  	 3 	 0 
 117(V) 	 8h 19m 38s 	  8h 19m 43s  	 0h 0m 5s  	 117(O) 	 8h 20m 52s	  8h 21m 42s  	 0h 0m 49s  	 0 	 0 
